statefips,countyfips,description,year,LaborForce,LabWorkRatio,Workforce,Live_in,Live_out,ctyin1,ctyin2,ctyin3,ctyin4,ctyin5,ctyout1,ctyout2,ctyout3,ctyout4,ctyout5,ctyind1,ctyind2,ctyind3,ctyind4,ctyind5,ctyoutd1,ctyoutd2,ctyoutd3,ctyoutd4,ctyoutd5
18,55,Greene,2016,20391,1.258470654,16203,14718,1485,Sullivan County,Monroe County,Lawrence County,Clay County,Knox County,Monroe County,Martin County,Vigo County,Sullivan County,Knox County,296,289,213,150,88,2739,612,421,390,235
18,79,Jennings,2016,17517,1.235941579,14173,12550,1623,Jackson County,Bartholomew County,Jefferson County,Ripley County,Decatur County,Bartholomew County,Jackson County,Jefferson County,Decatur County,Marion County,392,284,244,165,151,2254,1581,245,201,133
18,139,Rush,2016,11175,1.224389175,9127,7834,1293,Fayette County,Henry County,Shelby County,Franklin County,Decatur County,Shelby County,Marion County,Decatur County,Hancock County,Henry County,325,248,120,113,106,923,664,540,446,238
18,131,Pulaski,2016,8071,1.040211367,7759,6445,1314,Starke County,Cass County,Fulton County,White County,Jasper County,White County,Starke County,Jasper County,Marshall County,Fulton County,339,239,209,167,102,243,227,216,184,131
18,153,Sullivan,2016,12541,1.158628973,10824,9614,1210,Greene County,Vigo County,Knox County,Illinois,Clay County,Vigo County,Knox County,Greene County,Illinois,Out of State,390,233,168,117,103,1725,331,296,104,92
18,119,Owen,2016,13437,1.344910419,9991,8863,1128,Monroe County,Greene County,Morgan County,Clay County,Putnam County,Monroe County,Marion County,Putnam County,Morgan County,Clay County,499,229,86,78,68,2206,668,623,205,163
18,45,Fountain,2016,11094,1.22099934,9086,7779,1307,Warren County,Illinois,Vermillion County,Montgomery County,Tippecanoe County,Tippecanoe County,Montgomery County,Illinois,Warren County,Out of State,482,225,150,136,93,856,824,710,327,153
18,111,Newton,2016,9319,1.289648492,7226,6125,1101,Jasper County,Illinois,Benton County,Lake County,Michigan Out of State,Lake County,Jasper County,Illinois,Out of State,Tippecanoe County,343,223,151,109,66,1198,861,473,158,150
18,21,Clay,2016,16998,1.185107718,14343,12511,1832,Vigo County,Putnam County,Parke County,Owen County,St.Joseph County,Vigo County,Putnam County,Marion County,Greene County,Sullivan County,552,219,207,163,118,2482,847,270,150,103
18,9,Blackford,2016,8149,1.206722938,6753,5884,869,Delaware County,Grant County,Wells County,Jay County,Huntington County,Delaware County,Grant County,Wells County,Jay County,Allen County,277,212,108,100,26,652,582,279,237,110
18,49,Fulton,2016,13354,1.118425461,11940,10644,1296,Miami County,Marshall County,Cass County,Kosciusko County,Pulaski County,Kosciusko County,Marshall County,Cass County,Pulaski County,Miami County,305,202,189,166,131,778,544,311,209,126
18,149,Starke,2016,14097,1.378140581,10229,9383,846,Pulaski County,Marshall County,LaPorte County,Porter County,St.Joseph County,Marshall County,Porter County,LaPorte County,St.Joseph County,Lake County,227,202,129,85,38,1515,654,551,530,339
18,117,Orange,2016,12331,1.039012471,11868,10318,1550,Lawrence County,Washington County,Dubois County,Crawford County,Martin County,Lawrence County,Dubois County,Monroe County,Washington County,Crawford County,546,193,181,154,154,534,462,136,132,94
18,41,Fayette,2016,14212,1.111615174,12785,11592,1193,Wayne County,Franklin County,Union County,Rush County,Henry County,Wayne County,Rush County,Decatur County,Shelby County,Ohio (State),373,192,141,93,50,711,325,265,230,158
18,115,Ohia,2016,4031,1.234609495,3265,2295,970,Dearborn County,Ohio (State),Switzerland County,Ripley County,Randolph County,Dearborn County,Ohio (State),Kentucky,Switzerland County,Out of State,234,190,153,70,41,696,401,300,75,70
